region	chrom	shape	cn	n_reads	n_pop	popA	popA_n	popB	popB_n	n_cpg_tested	n_sig_cpg	max_dbeta	min_q	corroborated	hp_control_eval	cis_hit	cis_explained
chr11:109092608-109106890	chr11	sibling_only	loh	19	2	RA	13	RR	5	85	0	0.903	0.6114	0	0	0	0
chr11:109496275-109511178	chr11	linear_nested	loh	15	2	AR	8	AA	7	2	0	0.189	0.7213	0	0	0	0
chr11:112122727-112133525	chr11	linear_nested	loh	19	2	RA	11	AA	7	249	0	0.84	0.8893	0	0	0	0
chr11:118317056-118320662	chr11	linear_nested	loh	40	2	AA	20	AR	18	763	2	0.981	0.0455	1	0	0	0
chr11:119476474-119479445	chr11	linear_nested	loh	31	2	AA	21	AR	10	506	0	0.961	0.6702	0	0	0	0
chr11:120286006-120299526	chr11	linear_nested	loh	22	3	RA	11	AA	8	440	0	0.93	0.6122	0	0	0	0
chr11:121543363-121559171	chr11	sibling_only	loh	11	2	RA	7	RR	4	163	0	0.956	0.3452	0	0	0	0
chr11:121999353-122001391	chr11	linear_nested	loh	47	3	RR	23	AA	20	247	0	0.955	0.5601	0	0	0	0
chr11:122957249-122967540	chr11	linear_nested	loh	14	2	AR	9	AA	5	172	0	0.992	0.4095	0	0	0	0
chr11:123939424-123943667	chr11	linear_nested	loh	38	2	AA	20	AR	18	390	1	0.988	0.042	1	0	0	0
chr11:130486562-130494260	chr11	sibling_only	loh	14	2	AR	9	RA	5	0	0	0.0	1.0	0	0	0	0
chr12:39712074-39734772	chr12	sibling_only	loh	7	2	RR	4	RA	3	0	0	0.0	1.0	0	0	0	0
chr12:40581976-40585649	chr12	linear_nested	loh	41	3	RR	21	AA	10	118	0	0.98	0.0678	0	0	0	0
chr12:42372121-42393409	chr12	linear_nested	loh	6	2	AA	3	AR	3	0	0	0.0	1.0	0	0	0	0
chr12:43057263-43074964	chr12	linear_nested	loh	20	2	RR	16	AA	3	0	0	0.0	1.0	0	0	0	0
chr12:44695116-44700004	chr12	linear_nested	loh	38	2	RA	21	AA	16	294	0	0.976	0.3964	0	0	0	0
chr12:49526215-49530304	chr12	linear_nested	loh	44	2	AR	27	AA	15	839	0	0.943	0.3029	0	0	0	0
chr12:50828895-50842418	chr12	linear_nested	loh	19	2	RA	10	AA	9	247	0	0.921	0.9956	0	0	0	0
chr12:51495109-51509737	chr12	sibling_only	loh	18	2	AR	14	RR	3	0	0	0.0	1.0	0	0	0	0
chr12:60388331-60397007	chr12	linear_nested	loh	26	2	AR	15	AA	10	225	0	0.831	0.7064	0	0	0	0
chr12:61596460-61604175	chr12	linear_nested	loh	23	2	RR	12	AA	10	148	0	0.931	0.7563	0	0	0	0
chr12:61924584-61928685	chr12	sibling_only	loh	33	2	RA	21	RR	10	227	0	0.816	0.2268	0	0	0	0
chr12:63222098-63224952	chr12	linear_nested	loh	42	3	RR	26	AA	13	240	0	0.95	0.4751	0	0	0	0
chr12:65746245-65751919	chr12	linear_nested	loh	33	2	RA	25	AA	8	631	0	0.896	0.5344	0	0	0	0
chr12:67218141-67231309	chr12	linear_nested	loh	16	2	AR	11	AA	5	78	0	0.768	0.9988	0	0	0	0
chr12:67311543-67311546	chr12	linear_nested	loh	57	2	RR	50	AA	6	45	0	0.442	0.4806	0	0	0	0
chr12:69702037-69702134	chr12	linear_nested	loh	53	2	AA	50	AR	3	0	0	0.0	1.0	0	0	0	0
chr12:78223495-78227813	chr12	linear_nested	loh	43	3	AA	35	AR	4	47	0	0.405	0.7774	0	0	0	0
chr12:78321695-78337010	chr12	linear_nested	loh	18	2	AA	11	RA	6	102	0	0.927	0.7742	0	0	0	0
chr12:79638373-79653488	chr12	linear_nested	loh	14	2	AR	7	AA	5	73	0	0.579	0.6528	0	0	0	0
chr12:87203096-87225939	chr12	linear_nested	loh	8	2	AR	4	AA	4	0	0	0.0	1.0	0	0	0	0
chr12:90529212-90547203	chr12	sibling_only	loh	12	2	RA	6	AR	6	165	0	0.979	0.9506	0	0	0	0
chr12:93263946-93265599	chr12	linear_nested	loh	48	3	AR	27	AA	17	429	0	0.983	0.1443	0	0	0	0
chr12:94683538-94693536	chr12	linear_nested	loh	17	2	AA	9	AR	8	507	0	0.986	0.8319	0	0	0	0
chr12:95220219-95220471	chr12	linear_nested	loh	53	2	AA	30	RR	22	731	1	0.906	0.0139	1	0	0	0
chr12:96531827-96532387	chr12	linear_nested	loh	58	2	RR	54	AA	4	0	0	0.0	1.0	0	0	0	0
chr12:101534021-101547649	chr12	sibling_only	loh	10	2	AR	5	RR	5	84	0	0.921	0.6	0	0	0	0
chr12:103314635-103319582	chr12	linear_nested	loh	30	2	RA	24	AA	4	46	0	0.79	0.3125	0	0	0	0
chr12:105679292-105679312	chr12	linear_nested	loh	61	2	RR	52	AA	8	93	0	0.457	0.9478	0	0	0	0
chr12:108908246-108912017	chr12	linear_nested	loh	27	2	AR	19	AA	6	231	0	0.974	0.7336	0	0	0	0
chr12:111342840-111343251	chr12	linear_nested	loh	48	2	RR	44	AA	3	49	0	0.526	0.5292	0	0	0	0
chr12:112966053-112979060	chr12	linear_nested	loh	16	2	AR	10	AA	6	270	0	0.949	0.805	0	0	0	0
chr12:114070226-114070227	chr12	linear_nested	loh	52	2	RR	30	AA	21	361	1	0.971	0.0122	1	0	0	0
chr12:114947445-114952653	chr12	linear_nested	loh	35	3	AA	17	AR	15	412	0	0.951	0.4889	0	0	0	0
chr12:121602115-121631173	chr12	linear_nested	loh	7	2	RA	4	AA	3	0	0	0.0	1.0	0	0	0	0
chr12:122169572-122176206	chr12	sibling_only	loh	28	2	RA	22	AR	4	231	0	0.934	0.5982	0	0	0	0
chr12:124139624-124149043	chr12	linear_nested	loh	17	2	AA	12	RR	4	0	0	0.0	1.0	0	0	0	0
chr12:125130698-125131788	chr12	linear_nested	loh	47	2	RR	42	AA	4	2	0	0.272	0.8732	0	0	0	0
chr12:128297714-128306237	chr12	sibling_only	loh	21	3	RA	11	AR	7	232	0	0.987	0.491	0	0	0	0
chr12:131937496-131952674	chr12	sibling_only	loh	18	2	AR	9	RR	9	737	0	0.966	0.8151	0	0	0	0
chr12:132053416-132066878	chr12	sibling_only	loh	12	2	RA	6	AR	5	592	0	0.916	1.0	0	0	0	0
chr13:51433540-51436140	chr13	sibling_only	loh	43	2	RR	26	AR	16	332	0	0.62	0.5838	0	0	0	0
chr13:63848806-63849082	chr13	linear_nested	loh	51	2	RR	45	AA	4	0	0	0.0	1.0	0	0	0	0
chr13:67311425-67316699	chr13	linear_nested	loh	24	2	AR	17	AA	7	152	0	0.941	0.4409	0	0	0	0
chr13:67745158-67745981	chr13	sibling_only	loh	39	2	AR	28	RA	11	193	0	0.811	0.4729	0	0	0	0
chr13:68108141-68108142	chr13	linear_nested	loh	40	2	AA	25	RR	14	298	0	0.943	0.7977	0	0	0	0
chr13:73340584-73361436	chr13	linear_nested	loh	7	2	AA	4	AR	3	0	0	0.0	1.0	0	0	0	0
chr13:74300789-74307964	chr13	linear_nested	loh	23	2	RA	12	AA	10	195	0	0.811	0.9905	0	0	0	0
chr13:78987093-79002603	chr13	linear_nested	loh	14	2	AR	7	AA	5	108	0	0.971	1.0	0	0	0	0
chr13:81327683-81340436	chr13	sibling_only	loh	12	2	RR	8	AR	4	0	0	0.0	1.0	0	0	0	0
chr13:87760530-87781168	chr13	linear_nested	loh	9	2	RA	4	AA	3	0	0	0.0	1.0	0	0	0	0
chr13:94384050-94395849	chr13	sibling_only	loh	20	2	RA	10	AR	9	185	0	0.895	0.2102	0	0	0	0
chr13:98077724-98078907	chr13	sibling_only	loh	35	2	RA	31	AR	4	0	0	0.0	1.0	0	0	0	0
chr13:100245084-100247443	chr13	linear_nested	loh	31	2	AR	18	AA	11	176	0	0.961	1.0	0	0	0	0
chr13:100850834-100850835	chr13	linear_nested	loh	46	2	RR	29	AA	16	310	0	0.887	0.578	0	0	0	0
chr13:101018191-101026221	chr13	sibling_only	loh	31	2	RA	19	AR	10	361	0	0.902	0.7802	0	0	0	0
chr13:107366932-107367064	chr13	linear_nested	loh	49	2	RR	44	AA	4	0	0	0.0	1.0	0	0	0	0
chr13:108648018-108654674	chr13	linear_nested	loh	22	2	AA	12	RR	9	187	0	0.934	0.9714	0	0	0	0
chr13:109653969-109666836	chr13	linear_nested	loh	12	2	AR	7	AA	5	3	0	0.26	0.8544	0	0	0	0
chr13:111114709-111143464	chr13	sibling_only	loh	9	2	RR	5	RA	4	0	0	0.0	1.0	0	0	0	0
chr13:111595286-111603945	chr13	sibling_only	loh	32	3	RA	15	AR	13	866	0	0.989	0.1725	0	0	0	0
chr14:36123380-36145981	chr14	sibling_only	neutral	10	2	AR	5	RA	4	0	0	0.0	1.0	0	0	0	0
chr14:37894592-37898407	chr14	linear_nested	loh	46	2	AR	30	AA	14	278	2	0.904	0.0387	1	0	0	0
chr14:39508403-39521430	chr14	linear_nested	loh	22	2	AR	12	AA	9	263	0	0.984	0.5233	0	0	0	0
chr14:43431875-43461570	chr14	linear_nested	loh	7	2	AR	4	AA	3	0	0	0.0	1.0	0	0	0	0
chr14:44103196-44133127	chr14	linear_nested	loh	7	2	AA	4	AR	3	0	0	0.0	1.0	0	0	0	0
chr14:62341286-62355529	chr14	sibling_only	loh	17	2	AR	8	RA	7	108	0	0.97	0.2148	0	0	0	0
chr14:70060890-70070433	chr14	linear_nested	loh	33	2	AA	16	AR	15	442	22	0.974	0.0093	1	0	0	0
chr14:74091028-74091590	chr14	linear_nested	loh	62	2	AA	58	RR	3	157	0	0.609	0.8729	0	0	0	0
chr15:24320577-24322848	chr15	linear_nested	loh	39	2	RR	35	AA	3	0	0	0.0	1.0	0	0	0	0
chr15:25571447-25575695	chr15	linear_nested	loh	22	2	AR	12	AA	9	237	0	0.975	0.6111	0	0	0	0
chr15:29833501-29835375	chr15	linear_nested	loh	64	3	RA	40	AA	21	869	1	0.933	0.0079	1	0	0	0
chr15:31096121-31115297	chr15	linear_nested	loh	12	2	AA	7	AR	5	195	0	0.979	1.0	0	0	0	0
chr15:33535882-33548789	chr15	linear_nested	loh	21	2	AR	11	AA	9	412	0	0.969	1.0	0	0	0	0
chr15:38251066-38269368	chr15	linear_nested	loh	13	2	RA	8	AA	5	284	0	0.977	1.0	0	0	0	0
chr15:38625183-38625185	chr15	linear_nested	loh	61	3	RR	40	RA	12	240	0	0.587	0.5756	0	0	0	0
chr15:41417029-41441661	chr15	sibling_only	loh	10	2	RR	6	RA	4	2	0	0.047	0.8248	0	0	0	0
chr15:54271591-54287271	chr15	linear_nested	loh	18	2	AR	9	AA	8	216	0	0.977	0.5126	0	0	0	0
chr15:54848081-54860912	chr15	sibling_only	loh	19	2	RR	9	RA	9	190	0	0.977	0.5816	0	0	0	0
chr15:55080872-55106978	chr15	linear_nested	loh	10	2	AA	5	RA	5	147	0	0.98	0.5357	0	0	0	0
chr17:21303695-21320366	chr17	linear_nested	loh	43	3	RR	28	AR	8	472	55	0.982	0.0495	1	0	0	0
chr17:22196890-22223381	chr17	sibling_only	loh	9	2	AR	5	RR	3	0	0	0.0	1.0	0	0	0	0
chr17:26991340-26992372	chr17	linear_nested	loh	40	2	RR	23	AA	15	313	2	0.971	0.0164	1	0	0	0
chr17:28463255-28477180	chr17	sibling_only	loh	14	2	AR	7	RR	6	187	0	0.917	0.8944	0	0	0	0
chr17:30884631-30898479	chr17	linear_nested	loh	21	2	AA	15	AR	6	421	0	0.604	1.0	0	0	0	0
chr17:36122427-36148476	chr17	linear_nested	loh	7	2	AR	4	AA	3	0	0	0.0	1.0	0	0	0	0
chr17:36815783-36829256	chr17	linear_nested	loh	22	2	AR	12	AA	10	680	0	0.986	0.4797	0	0	0	0
chr17:38783293-38783294	chr17	linear_nested	loh	41	2	RR	21	AA	18	419	0	0.584	0.9597	0	0	0	0
chr17:39591212-39601897	chr17	linear_nested	loh	27	2	RR	21	AA	5	514	0	0.971	0.3927	0	0	0	0
chr17:39952731-39963510	chr17	linear_nested	loh	18	2	AR	10	AA	7	477	0	0.955	0.9028	0	0	0	0
chr17:41581093-41590725	chr17	linear_nested	loh	6	2	AA	3	AR	3	0	0	0.0	1.0	0	0	0	0
chr17:48131305-48137562	chr17	linear_nested	loh	40	2	RR	34	AA	5	131	0	0.916	0.3358	0	0	0	0
chr17:48745782-48765189	chr17	linear_nested	loh	16	2	RR	11	AA	4	422	0	0.954	0.4193	0	0	0	0
chr17:51386124-51396466	chr17	linear_nested	loh	26	2	AA	16	AR	10	628	0	0.959	0.3473	0	0	0	0
chr17:51945781-51956052	chr17	linear_nested	loh	29	2	AA	14	RR	14	265	0	0.984	0.2509	0	0	0	0
chr17:52845133-52860228	chr17	linear_nested	loh	11	2	AA	8	AR	3	0	0	0.0	1.0	0	0	0	0
chr17:54784785-54796117	chr17	linear_nested	loh	10	2	RA	5	AA	5	98	0	0.917	0.9333	0	0	0	0
chr17:59307245-59316490	chr17	linear_nested	loh	27	2	AR	14	AA	12	740	0	0.952	0.4602	0	0	0	0
chr17:61183557-61199342	chr17	linear_nested	loh	18	2	RA	11	AA	6	229	0	0.942	0.9151	0	0	0	0
chr17:64901033-64905426	chr17	sibling_only	loh	47	2	AR	34	RA	11	277	0	0.976	0.1301	0	0	0	0
chr17:66251026-66259135	chr17	linear_nested	loh	33	2	AR	16	AA	15	744	0	0.925	0.7298	0	0	0	0
chr18:1276206-1280562	chr18	linear_nested	loh	39	2	AA	22	RA	15	171	0	0.971	0.5213	0	0	0	0
chr18:2883977-2889756	chr18	sibling_only	loh	27	2	RA	16	RR	10	925	0	0.973	0.6146	0	0	0	0
chr18:4171414-4181350	chr18	linear_nested	loh	23	2	AA	18	RA	3	0	0	0.0	1.0	0	0	0	0
chr18:4848875-4867702	chr18	linear_nested	loh	8	2	AA	4	RR	3	0	0	0.0	1.0	0	0	0	0
chr18:6740407-6760358	chr18	sibling_only	loh	13	2	RA	8	AR	3	122	0	0.958	0.8133	0	0	0	0
chr18:9085056-9104285	chr18	sibling_only	loh	7	2	RR	4	AR	3	0	0	0.0	1.0	0	0	0	0
chr18:9777310-9777311	chr18	linear_nested	loh	59	2	AA	31	RR	27	742	0	0.825	0.9089	0	0	0	0
chr18:10960964-10985457	chr18	linear_nested	loh	10	2	AR	6	AA	4	1	0	0.4	0.1	0	0	0	0
chr18:11457947-11458068	chr18	linear_nested	loh	80	2	RR	51	AA	29	425	60	0.979	0.0003	1	0	0	0
chr19:2103787-2118254	chr19	linear_nested	loh	10	2	RA	5	AA	4	0	0	0.0	1.0	0	0	0	0
chr19:6609894-6610503	chr19	linear_nested	loh	44	2	RA	28	AA	16	766	0	0.972	0.4681	0	0	0	0
chr19:6878285-6879651	chr19	sibling_only	loh	48	2	AR	27	RA	19	548	0	0.963	0.0681	0	0	0	0
chr19:7016651-7017724	chr19	linear_nested	loh	50	3	AR	44	RR	3	51	0	0.66	0.2304	0	0	0	0
chr19:7704549-7723017	chr19	sibling_only	loh	9	2	RA	4	AR	3	0	0	0.0	1.0	0	0	0	0
chr19:8503382-8537313	chr19	linear_nested	loh	9	2	RA	6	AA	3	0	0	0.0	1.0	0	0	0	0
chr19:40651384-40659734	chr19	linear_nested	loh	35	3	AA	16	RA	15	1256	0	0.983	0.1103	0	0	0	0
chr19:42317248-42342617	chr19	linear_nested	loh	8	2	AR	5	AA	3	0	0	0.0	1.0	0	0	0	0
chr19:45939646-45960597	chr19	linear_nested	loh	11	2	RA	7	AA	4	559	0	0.942	0.7873	0	0	0	0
chr19:53312823-53313228	chr19	sibling_only	loh	61	3	AR	35	RA	23	1157	27	0.979	0.0059	1	0	0	0
chr19:53645974-53661058	chr19	linear_nested	loh	20	2	RR	14	AA	5	716	0	0.971	0.2802	0	0	0	0
chr19:54677727-54698073	chr19	sibling_only	loh	13	2	AR	8	RA	5	254	0	0.979	0.3024	0	0	0	0
chr19:54936893-54942516	chr19	linear_nested	loh	60	2	RR	45	AA	14	1308	14	0.922	0.0066	1	0	0	0
chr19:55211650-55226999	chr19	sibling_only	loh	26	2	AR	16	RA	10	1187	0	0.945	0.7658	0	0	0	0
chr19:57195772-57213066	chr19	linear_nested	loh	23	2	RA	13	AA	9	750	0	0.946	0.9565	0	0	0	0
chr20:29248473-29268498	chr20	linear_nested	neutral	9	2	RA	5	AA	4	0	0	0.0	1.0	0	0	0	0
chr21:13518744-13518745	chr21	linear_nested	neutral	53	2	AA	32	RR	20	461	0	0.988	0.0976	0	0	0	0
chr21:16812712-16812713	chr21	linear_nested	neutral	60	2	RR	30	AA	29	365	0	0.955	0.1486	0	0	0	0
chr21:17117416-17142659	chr21	sibling_only	neutral	8	2	AR	3	RA	3	0	0	0.0	1.0	0	0	0	0
chr21:18136259-18137539	chr21	linear_nested	neutral	42	3	RA	20	RR	13	294	0	0.987	0.4085	0	0	0	0
chr21:24250583-24264771	chr21	linear_nested	neutral	18	2	AA	13	RR	4	139	0	0.738	0.9149	0	0	0	0
chr21:29101496-29101497	chr21	linear_nested	neutral	52	2	AA	27	RR	24	588	2	0.962	0.0216	1	0	0	0
chr21:39787805-39790353	chr21	linear_nested	neutral	40	2	RR	22	AA	17	436	0	0.977	0.3217	0	0	0	0
chr21:45086352-45107962	chr21	linear_nested	neutral	10	2	RR	5	AA	3	0	0	0.0	1.0	0	0	0	0
chr22:11348424-11349897	chr22	linear_nested	neutral	154	2	RR	99	AA	54	663	66	0.948	0.0	1	0	0	0
chr22:16919371-16944002	chr22	linear_nested	loh	7	2	AA	4	RA	3	113	0	0.92	0.6647	0	0	0	0
chr22:50383323-50404573	chr22	sibling_only	loh	25	3	RA	10	AR	10	1304	0	0.95	0.952	0	0	0	0
chr21:13601438-13604703	chr21	co_linked_lineage	neutral	23	2	RRRRR	20	AAAAA	3	0	0	0.0	1.0	0	0	0	0
chr1:102898164-102920743	chr1	co_linked_lineage	loh	6	2	RRRR	3	AAAA	3	0	0	0.0	1.0	0	0	0	0
chr2:197152546-197167619	chr2	co_linked_lineage	neutral	24	3	AAAR	9	RRRA	9	415	0	0.909	1.0	0	0	0	0
chr4:143350201-143358942	chr4	co_linked_lineage	loh	25	2	RRRR	22	AAAA	3	0	0	0.0	1.0	0	0	0	0
chr5:89029490-89034429	chr5	co_linked_lineage	loh	23	2	RRRR	19	AAAA	4	0	0	0.0	1.0	0	0	0	0
chr5:106660357-106663616	chr5	co_linked_lineage	loh	37	2	RRRR	32	AAAA	3	0	0	0.0	1.0	0	0	0	0
chr12:89515285-89521772	chr12	co_linked_lineage	loh	41	2	RRRR	36	AAAA	5	75	0	0.595	0.8541	0	0	0	0
chr1:83700750-83707491	chr1	co_linked_lineage	loh	26	2	RRR	23	AAA	3	0	0	0.0	1.0	0	0	0	0
chr2:123543334-123544961	chr2	co_linked_lineage	loh	48	2	RRR	45	AAA	3	0	0	0.0	1.0	0	0	0	0
chr2:222098818-222126730	chr2	co_linked_lineage	neutral	9	2	ARR	4	RRR	4	0	0	0.0	1.0	0	0	0	0
chr2:224749654-224771004	chr2	co_linked_lineage	neutral	14	2	RRA	7	AAR	7	429	0	0.489	1.0	0	0	0	0
chr4:136946698-136953629	chr4	co_linked_lineage	loh	21	2	RRR	17	AAA	4	0	0	0.0	1.0	0	0	0	0
chr4:153965341-153967235	chr4	co_linked_lineage	loh	29	2	RRR	24	AAA	5	104	50	0.981	0.0465	1	0	0	0
chr4:175019638-175033708	chr4	co_linked_lineage	loh	25	2	RRR	22	AAA	3	0	0	0.0	1.0	0	0	0	0
chr5:61089793-61093038	chr5	co_linked_lineage	loh	44	2	RRR	38	AAA	3	0	0	0.0	1.0	0	0	0	0
chr5:83602524-83606785	chr5	co_linked_lineage	loh	35	3	ARR	17	RRR	14	339	0	0.967	0.6594	0	0	0	0
chr5:163676678-163688379	chr5	co_linked_lineage	loh	29	2	RRR	15	AAA	14	307	0	0.977	0.1529	0	0	0	0
chr8:62491039-62503410	chr8	co_linked_lineage	loh	20	2	RRR	15	AAA	5	88	0	0.975	0.2763	0	0	0	0
chr10:22007789-22009175	chr10	co_linked_lineage	loh	39	2	RRR	36	AAA	3	0	0	0.0	1.0	0	0	0	0
chr10:107319110-107319574	chr10	co_linked_lineage	loh	58	2	RRR	55	AAA	3	0	0	0.0	1.0	0	0	0	0
chr10:112890178-112890529	chr10	co_linked_lineage	loh	59	2	RRR	39	AAA	18	385	0	0.993	0.2415	0	0	0	0
chr11:28562267-28566879	chr11	co_linked_lineage	loh	29	2	RRR	24	AAA	5	55	0	0.956	0.1676	0	0	0	0
chr11:39151770-39163119	chr11	co_linked_lineage	loh	24	2	RRR	21	AAA	3	1	0	0.135	0.9178	0	0	0	0
chr11:48278433-48292994	chr11	co_linked_lineage	loh	8	2	RRR	5	AAA	3	0	0	0.0	1.0	0	0	0	0
chr11:75009548-75017508	chr11	co_linked_lineage	loh	28	2	RRR	25	AAA	3	0	0	0.0	1.0	0	0	0	0
chr12:62946766-62953355	chr12	co_linked_lineage	loh	39	2	RRR	34	AAA	3	0	0	0.0	1.0	0	0	0	0
chr12:72852374-72854791	chr12	co_linked_lineage	loh	39	2	RRR	35	AAA	4	43	0	0.939	0.0596	0	0	0	0
chr12:101701400-101702234	chr12	co_linked_lineage	loh	60	2	RRR	56	AAA	4	0	0	0.0	1.0	0	0	0	0
chr12:102291487-102306071	chr12	co_linked_lineage	loh	16	2	AAA	8	RAA	6	131	0	0.977	0.3119	0	0	0	0
chr12:118285896-118287928	chr12	co_linked_lineage	loh	36	2	RRR	33	AAA	3	0	0	0.0	1.0	0	0	0	0
chr13:67241894-67243496	chr13	co_linked_lineage	loh	32	2	RRR	29	AAA	3	0	0	0.0	1.0	0	0	0	0
chr21:14464520-14486544	chr21	co_linked_lineage	neutral	10	2	RRR	7	AAA	3	0	0	0.0	1.0	0	0	0	0
chr21:28582933-28585488	chr21	co_linked_lineage	neutral	63	2	RRR	33	AAA	30	491	2	0.989	0.0484	1	0	0	0
chr21:30755336-30773771	chr21	co_linked_lineage	neutral	8	2	RRR	5	AAA	3	0	0	0.0	1.0	0	0	0	0
chr21:41925098-41942645	chr21	co_linked_lineage	neutral	14	2	RRR	7	RRA	6	415	0	0.969	0.8258	0	0	0	0
chr21:42325490-42333073	chr21	co_linked_lineage	neutral	26	2	RRA	15	AAR	10	330	0	0.986	0.0664	0	0	0	0
chr1:52630054-52630942	chr1	co_linked_lineage	loh	49	2	RR	45	AA	4	165	0	0.944	0.1586	0	0	0	0
chr1:54073027-54073666	chr1	co_linked_lineage	loh	61	2	RR	57	AA	4	0	0	0.0	1.0	0	0	0	0
chr1:54553263-54566222	chr1	co_linked_lineage	loh	28	2	RR	19	AA	9	824	0	0.974	0.4166	0	0	0	0
chr1:55820681-55840350	chr1	co_linked_lineage	loh	10	2	AA	7	RR	3	1	0	0.035	0.6579	0	0	0	0
chr1:56843461-56869731	chr1	co_linked_lineage	loh	9	2	RR	6	AA	3	0	0	0.0	1.0	0	0	0	0
chr1:96449497-96457940	chr1	co_linked_lineage	loh	25	2	RR	15	AA	10	279	0	0.955	0.6873	0	0	0	0
chr1:100326501-100337631	chr1	co_linked_lineage	loh	18	2	AA	12	RR	6	173	0	0.848	0.7172	0	0	0	0
chr1:102018057-102038765	chr1	co_linked_lineage	loh	10	2	AA	7	RR	3	0	0	0.0	1.0	0	0	0	0
chr1:107930227-107936875	chr1	co_linked_lineage	loh	27	2	AA	14	RR	13	241	0	0.928	0.881	0	0	0	0
chr1:109448808-109460633	chr1	co_linked_lineage	loh	22	2	AA	12	RR	10	695	0	0.987	0.1935	0	0	0	0
chr1:111037258-111057097	chr1	co_linked_lineage	loh	12	2	AA	8	RR	4	0	0	0.0	1.0	0	0	0	0
chr1:112956212-112976689	chr1	co_linked_lineage	loh	16	2	AA	8	RR	8	554	0	0.941	0.8822	0	0	0	0
chr1:113571915-113572221	chr1	co_linked_lineage	loh	37	2	RR	34	AA	3	0	0	0.0	1.0	0	0	0	0
chr1:117324606-117338806	chr1	co_linked_lineage	loh	15	2	AA	8	RR	7	173	0	0.968	0.3445	0	0	0	0
chr2:18761006-18771636	chr2	co_linked_lineage	loh	27	2	AA	14	RR	13	252	0	0.814	1.0	0	0	0	0
chr2:24607583-24608465	chr2	co_linked_lineage	loh	35	2	RR	32	AA	3	0	0	0.0	1.0	0	0	0	0
chr2:30070016-30074054	chr2	co_linked_lineage	loh	57	2	RR	47	AA	10	403	2	0.971	0.0499	1	0	0	0
chr2:43618645-43618646	chr2	co_linked_lineage	loh	79	2	RR	45	AA	34	1104	6	0.948	0.0021	1	0	0	0
chr2:76057101-76058946	chr2	co_linked_lineage	loh	44	2	RR	39	AA	5	27	0	0.959	0.0726	0	0	0	0
chr2:80913174-80914309	chr2	co_linked_lineage	loh	44	2	RR	29	AA	15	254	0	0.973	0.0785	0	0	0	0
chr2:82368700-82388164	chr2	co_linked_lineage	loh	15	2	RR	12	AA	3	0	0	0.0	1.0	0	0	0	0
chr2:126912434-126912435	chr2	co_linked_lineage	loh	50	2	RR	31	AA	19	562	1	0.983	0.026	1	0	0	0
chr2:200350557-200370489	chr2	co_linked_lineage	neutral	17	2	RR	10	AA	7	217	0	0.964	0.8675	0	0	0	0
chr2:201562178-201568247	chr2	co_linked_lineage	neutral	38	2	AA	21	RR	17	467	0	0.91	0.2562	0	0	0	0
chr2:219860984-219872069	chr2	co_linked_lineage	neutral	42	2	RR	28	AA	14	641	0	0.929	0.1599	0	0	0	0
chr3:77729662-77730448	chr3	co_linked_lineage	loh	44	2	RR	40	AA	4	0	0	0.0	1.0	0	0	0	0
chr3:102491175-102493406	chr3	co_linked_lineage	loh	48	2	RR	42	AA	6	123	0	0.977	0.102	0	0	0	0
chr3:107594133-107594403	chr3	co_linked_lineage	loh	42	2	RR	38	AA	4	20	0	0.325	0.3667	0	0	0	0
chr3:111042426-111043159	chr3	co_linked_lineage	loh	57	2	RR	54	AA	3	0	0	0.0	1.0	0	0	0	0
chr4:38235313-38260657	chr4	co_linked_lineage	neutral	7	2	RR	4	AA	3	0	0	0.0	1.0	0	0	0	0
chr4:40025205-40046790	chr4	co_linked_lineage	neutral	15	2	RR	9	AA	6	637	0	0.97	1.0	0	0	0	0
chr4:141475850-141475851	chr4	co_linked_lineage	loh	51	2	AA	29	RR	22	393	0	0.944	0.5347	0	0	0	0
chr4:159268963-159269010	chr4	co_linked_lineage	loh	55	2	RR	49	AA	6	46	0	0.519	0.7927	0	0	0	0
chr4:172313148-172316888	chr4	co_linked_lineage	loh	45	2	RR	41	AA	4	62	0	0.908	0.1257	0	0	0	0
chr4:176120051-176120052	chr4	co_linked_lineage	loh	46	2	RR	26	AA	20	314	2	0.971	0.0346	1	0	0	0
chr4:178701647-178701972	chr4	co_linked_lineage	loh	60	2	RR	56	AA	4	0	0	0.0	1.0	0	0	0	0
chr4:179928680-179934864	chr4	co_linked_lineage	loh	53	2	RR	49	AA	4	39	0	0.963	0.0547	0	0	0	0
chr4:188763933-188766205	chr4	co_linked_lineage	loh	29	2	RR	16	AA	13	370	0	0.936	0.575	0	0	0	0
chr5:62122079-62122080	chr5	co_linked_lineage	loh	57	2	RR	32	AA	25	402	18	0.977	0.0015	1	0	0	0
chr5:87144260-87163036	chr5	co_linked_lineage	loh	8	2	RR	5	AA	3	0	0	0.0	1.0	0	0	0	0
chr5:138046551-138052501	chr5	co_linked_lineage	loh	32	2	AA	19	RR	13	657	0	0.977	0.25	0	0	0	0
chr5:165416027-165420657	chr5	co_linked_lineage	loh	52	2	RR	35	AA	17	317	2	0.958	0.0034	1	0	0	0
chr5:165550416-165557844	chr5	co_linked_lineage	loh	46	2	AA	29	RR	17	521	41	0.987	0.0096	1	0	0	0
chr5:174775207-174794062	chr5	co_linked_lineage	loh	17	2	RR	11	AA	6	298	0	0.955	0.2128	0	0	0	0
